timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-07-07T17:25:57,ax-pfa-evidence-evaluate-01,explain,evaluate,pfa-frameworks,50,shaky,1,1,2.22,0,26.0
2026-07-07T17:27:16,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,95,correct,1,6,1.96,2,72.5
2026-07-07T17:27:53,u2-psychodynamic-stuckbetter-01,explain,understand,theory-families,70,shaky,6,3,2.42,2,25.8
2026-07-07T17:28:11,u2-postmodern-stuckbetter-01,explain,understand,theory-families,100,correct,6,15,2.66,3,10.5
2026-07-07T17:28:23,ax-pfa-pgd-analyze-01,vignette,analyze,grief-models,100,correct,1,6,2.7,2,6.8
2026-07-07T17:28:54,u1-microskills-recall-01,recall,understand,microskill-types,100,correct,6,15,2.66,3,23.5
2026-07-07T17:29:30,ax-pfa-objectives-recall-01,recall,remember,pfa-frameworks,50,missed,1,1,1.54,0,23.1
2026-07-07T17:30:05,ax-pfa-debrief-apply-01,vignette,apply,pfa-frameworks,100,correct,1,6,2.7,2,19.0
2026-07-07T17:31:02,ax-pfa-dpm-apply-01,vignette,apply,grief-models,100,correct,1,1,2.46,1,47.8
2026-07-07T17:31:35,ax-pfa-refer-analyze-01,vignette,analyze,bereavement-support,70,correct,1,1,2.14,1,15.2
2026-07-07T17:31:40,u1-stance-evaluate-01,explain,evaluate,microskill-types,100,correct,6,15,2.66,3,4.7
2026-07-07T17:31:49,u2-differential-mcq-03,mcq,apply,theory-families,100,correct,6,16,2.8,3,8.2
2026-07-07T17:33:31,ax-pfa-kublerross-evaluate-01,explain,evaluate,grief-models,50,missed,1,1,1.86,0,94.8
2026-07-07T17:33:53,ax-pfa-condolence-analyze-01,vignette,analyze,bereavement-support,100,correct,1,6,2.7,2,13.9
2026-07-07T17:33:59,ax-pfa-dpm-cloze-01,cloze,remember,grief-models,100,correct,1,6,2.7,2,3.3
2026-07-07T17:34:43,u2-bowen-vs-minuchin-compare-01,compare,analyze,theory-families,90,correct,1,6,1.92,2,33.9
2026-07-07T17:35:59,ax-pfa-lll-apply-01,vignette,apply,pfa-frameworks,70,correct,1,6,2.7,2,66.3
